"Id","id"
"IsDeleted","boolean"
"MasterRecordId","reference"
"Name","string"
"Type","picklist"
"RecordTypeId","reference"
"ParentId","reference"
"BillingStreet","textarea"
"BillingCity","string"
"BillingState","string"
"BillingPostalCode","string"
"BillingCountry","string"
"BillingLatitude","double"
"BillingLongitude","double"
"BillingGeocodeAccuracy","picklist"
"BillingAddress","address"
"ShippingStreet","textarea"
"ShippingCity","string"
"ShippingState","string"
"ShippingPostalCode","string"
"ShippingCountry","string"
"ShippingLatitude","double"
"ShippingLongitude","double"
"ShippingGeocodeAccuracy","picklist"
"ShippingAddress","address"
"Phone","phone"
"Fax","phone"
"AccountNumber","string"
"Website","url"
"PhotoUrl","url"
"Sic","string"
"Industry","picklist"
"AnnualRevenue","currency"
"NumberOfEmployees","int"
"Ownership","picklist"
"TickerSymbol","string"
"Description","textarea"
"Rating","picklist"
"Site","string"
"OwnerId","reference"
"CreatedDate","datetime"
"CreatedById","reference"
"LastModifiedDate","datetime"
"LastModifiedById","reference"
"SystemModstamp","datetime"
"LastActivityDate","date"
"LastViewedDate","datetime"
"LastReferencedDate","datetime"
"IsPartner","boolean"
"IsCustomerPortal","boolean"
"ChannelProgramName","string"
"ChannelProgramLevelName","string"
"Jigsaw","string"
"JigsawCompanyId","string"
"CleanStatus","picklist"
"AccountSource","picklist"
"DunsNumber","string"
"Tradestyle","string"
"NaicsCode","string"
"NaicsDesc","string"
"YearStarted","string"
"SicDesc","string"
"DandbCompanyId","reference"
"OperatingHoursId","reference"
"CustomerPriority__c","picklist"
"SLA__c","picklist"
"Active__c","picklist"
"NumberofLocations__c","double"
"UpsellOpportunity__c","picklist"
"SLASerialNumber__c","string"
"SLAExpirationDate__c","date"
"Number_of_Open_Opportunity__c","double"
"Out_of_Business__c","boolean"
"Create_Contact_Count__c","double"
"Address__c","textarea"
"Phone__c","phone"
"Email__c","email"
"Date_of_Birth__c","date"
"Contacts_Count__c","double"
"Opp_count__c","double"
"Aadhar_Id_UIDAI_Id__c","string"
"DOB_Count__c","double"
"Gender__c","picklist"
"Activation_Score__c","double"
"Amount__c","double"
